"","title","type","release_year","age_certification","runtime","genres","production_countries","imdb_score","imdb_votes","tmdb_popularity","tmdb_score","drama","comedy","documentation","horror","crime","action","thriller","fantasy","romance","history","scifi","animation","reality","sport","family","music","war","western","isNotUS"
"26","Singapore","MOVIE",1960,"",158,"['drama', 'thriller', 'crime']","['IN']",6.4,84,0.792,6.3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"27","Beirut, Oh Beirut","MOVIE",1975,"",110,"['drama']","['LB']",6.4,108,1.025,7.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"28","The Return of the Prodigal Son","MOVIE",1976,"",124,"['music', 'drama', 'crime']","['DZ', 'EG']",7.2,780,1.858,5.3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"29","Khoon Khoon","MOVIE",1973,"",131,"['crime', 'thriller']","['IN']",5.1,41,1.948,3.8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"30","Manoranjan","MOVIE",1974,"",162,"['romance', 'drama', 'comedy']","['IN']",6.5,237,1.532,5.3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"31","Ujala","MOVIE",1959,"",142,"['romance', 'crime', 'drama']","['IN']",6.6,78,0.84,6,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"32","Whispers","MOVIE",1980,"",93,"['documentation']","['CA', 'FR', 'LB']",7.8,78,0.6,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"33","Chadi Jawani Budhe Nu","MOVIE",1976,"",135,"['romance']","['IN']",4.6,14,0.62,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"34","Bandie","MOVIE",1978,"",141,"['drama', 'action', 'romance']","['IN']",4.4,35,1.166,6,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
"36","GoodFellas","MOVIE",1990,"R",145,"['drama', 'crime']","['US']",8.7,1131681,50.387,8.463,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","Full Metal Jacket","MOVIE",1987,"R",117,"['war', 'drama']","['US', 'GB']",8.3,729274,32.937,8.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"38","Once Upon a Time in America","MOVIE",1984,"R",139,"['crime', 'drama', 'european']","['US', 'IT']",8.3,345714,28.937,8.453,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"39","When Harry Met Sally...","MOVIE",1989,"R",96,"['comedy', 'romance', 'drama']","['US']",7.7,216199,15.123,7.4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"40","A Nightmare on Elm Street","MOVIE",1984,"R",91,"['horror']","['GB', 'US']",7.4,234068,48.358,7.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"41","Steel Magnolias","MOVIE",1989,"PG",119,"['comedy', 'drama', 'romance']","['US']",7.3,54946,11.69,7.2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"42","Police Academy","MOVIE",1984,"R",97,"['crime', 'comedy']","['US']",6.7,124881,25.533,6.6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","Christine","MOVIE",1983,"R",110,"['horror', 'thriller', 'european']","['US']",6.7,81922,23.418,6.8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"47","Awakenings","MOVIE",1990,"PG-13",120,"['drama', 'european']","['US']",7.8,139240,12.23,7.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","National Lampoon's Christmas Vacation","MOVIE",1989,"PG-13",97,"['comedy', 'european']","['US']",7.5,185760,18.862,7.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","Lean On Me","MOVIE",1989,"PG-13",105,"['drama']","['US']",7.4,20680,19.449,7.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","Eddie Murphy Raw","MOVIE",1987,"R",90,"['comedy', 'documentation']","['US']",7.6,19757,7.992,7.3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","She's Gotta Have It","MOVIE",1986,"R",84,"['romance', 'comedy']","['US']",6.7,14472,7.416,6.707,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"54","Endless Love","MOVIE",1981,"R",116,"['romance', 'drama']","['US']",4.9,8524,19.116,5.7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"57","Mobile Suit Gundam: Char's Counterattack","MOVIE",1988,"",119,"['scifi', 'animation', 'action', 'drama', 'war']","['JP']",7.3,1693,8.092,6.7,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1
"58","Mobile Suit Gundam II: Soldiers of Sorrow","MOVIE",1981,"",133,"['animation', 'scifi', 'action', 'drama', 'war']","['JP']",7.2,1274,13.125,7.2,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1
"60","Sam Kinison: Breaking the Rules","MOVIE",1987,"R",50,"['comedy', 'documentation']","['US']",7.2,660,1.843,7.2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","Waiting for the Hearse","MOVIE",1985,"",87,"['comedy']","['AR']",8,6399,7.81,8.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"62","Tim Allen: Men Are Pigs","MOVIE",1990,"",30,"['comedy', 'documentation']","['US']",6.1,360,2.482,6.3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63","Mobile Suit Gundam III: Encounters in Space","MOVIE",1982,"",144,"['action', 'drama', 'war', 'animation', 'scifi']","['JP']",7.6,1236,12.741,7.5,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1
"64","Monty Python Live at the Hollywood Bowl","MOVIE",1982,"R",81,"['comedy', 'documentation']","['GB']",7.9,15230,6.833,7.4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"65","Disco Dancer","MOVIE",1982,"",106,"['drama', 'romance']","['IN']",6.4,1476,7.879,5.3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"66","Agneepath","MOVIE",1990,"",174,"['drama', 'action', 'crime']","['IN']",7.6,8947,4.062,6.5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"67","Parrot Sketch Not Included: Twenty Years of Monty Python","MOVIE",1989,"",72,"['comedy']","['GB']",8.1,1522,1.801,6.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"68","Too Young The Hero","MOVIE",1988,"",100,"['drama', 'war']","['US']",6.7,502,1.485,6.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"69","A Stoning in Fulham County","MOVIE",1988,"",120,"['thriller', 'crime', 'drama']","['US']",5.9,387,1.01,5.8,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"70","The Ryan White Story","MOVIE",1989,"",102,"['drama']","['US']",7.2,863,1.981,5.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","Dil","MOVIE",1990,"",172,"['drama', 'comedy', 'romance']","['IN']",6.6,5316,3.992,6.5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"72","Adam: His Song Continues","MOVIE",1986,"",100,"['crime', 'drama']","['US']",7,212,1.603,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","The George McKenna Story","MOVIE",1988,"",100,"['drama']","['US']",6,921,2.296,6.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74","In Defense of a Married Man","MOVIE",1990,"",94,"['drama', 'crime']","['US']",5.6,207,2.444,4.9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76","Mujrim","MOVIE",1989,"",162,"['drama', 'action', 'crime']","['IN']",5.4,197,1.418,6,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"77","Aakhri Adaalat","MOVIE",1988,"",148,"['action', 'crime', 'thriller']","['IN']",5.1,92,1.374,5,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"78","Alexandria, Again and Forever","MOVIE",1989,"",105,"['drama']","['FR', 'EG']",6.5,658,0.817,5.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"80","Strange Voices","MOVIE",1987,"",100,"['drama']","['US']",6.3,360,2.76,6.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81","Jaal","MOVIE",1986,"",159,"['action', 'drama', 'thriller']","['IN']",5.2,125,3.366,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"82","Quiet Victory: The Charlie Wedemeyer Story","MOVIE",1988,"",100,"['drama']","['US']",7.2,144,2.246,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","Sohni Mahiwal","MOVIE",1984,"",160,"['romance', 'drama', 'action']","['IN']",6.1,297,6.052,5.8,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
"87","Ek Jaan Hain Hum","MOVIE",1983,"",151,"['family', 'romance']","['IN']",6.3,70,0.986,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
"88","An Egyptian Story","MOVIE",1982,"",129,"['drama', 'fantasy']","['EG']",7.3,1126,1.77,6.7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"89","The Little Wars","MOVIE",1982,"",108,"['war', 'drama', 'european']","['FR', 'LB']",6.3,152,1.956,5.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"90","Unspeakable Acts","MOVIE",1990,"",100,"['drama']","['US']",6.1,464,2.075,5.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92","Mission: Impossible","MOVIE",1996,"PG-13",110,"['thriller', 'action']","['US']",7.1,420673,41.115,6.9,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"94","Se7en","MOVIE",1995,"R",127,"['crime', 'thriller', 'drama']","['US']",8.6,1606270,51.633,8.352,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"96","Boogie Nights","MOVIE",1997,"R",156,"['drama']","['US']",7.9,261563,20.436,7.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97","Forrest Gump","MOVIE",1994,"PG-13",142,"['drama', 'romance']","['US']",8.8,2021343,63.449,8.478,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"98","Snatch","MOVIE",2000,"R",103,"['crime', 'comedy']","['US', 'GB']",8.3,841435,25.203,7.8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"99","The Talented Mr. Ripley","MOVIE",1999,"R",139,"['thriller', 'drama', 'crime']","['US']",7.4,207524,13.78,7.2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"102","Titanic","MOVIE",1997,"PG-13",194,"['drama', 'romance']","['US']",7.9,1146825,155.683,7.878,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"104","Starship Troopers","MOVIE",1997,"R",129,"['scifi', 'action', 'thriller']","['US']",7.3,291452,29.5,6.993,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"105","Mission: Impossible II","MOVIE",2000,"PG-13",123,"['thriller', 'action']","['US']",6.1,337987,29.392,6.1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"106","Dumb and Dumber","MOVIE",1994,"PG-13",107,"['comedy']","['US']",7.3,379999,31.852,6.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108","Gattaca","MOVIE",1997,"PG-13",106,"['scifi', 'thriller', 'romance', 'drama']","['US']",7.8,300701,17.789,7.553,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"109","Léon: The Professional","MOVIE",1994,"R",111,"['crime', 'drama', 'action', 'thriller', 'european']","['US', 'FR']",8.5,1137357,51.406,8.323,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"111","Natural Born Killers","MOVIE",1994,"R",118,"['thriller', 'drama', 'crime', 'action']","['US']",7.3,11,21.933,7.1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"112","The Quick and the Dead","MOVIE",1995,"R",107,"['action', 'thriller', 'western', 'romance']","['JP', 'US']",6.5,93767,13.056,6.5,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1
"113","You've Got Mail","MOVIE",1998,"PG",119,"['comedy', 'romance', 'drama']","['US']",6.7,211635,21.724,6.643,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"115","Big Daddy","MOVIE",1999,"PG-13",93,"['drama', 'comedy', 'european']","['US']",6.4,215053,26.848,6.45,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"116","Vampires","MOVIE",1998,"R",104,"['fantasy', 'action', 'horror', 'thriller']","['US']",6.1,58670,10.108,6.3,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"118","Donnie Brasco","MOVIE",1997,"R",127,"['drama', 'thriller', 'crime']","['US']",7.7,303868,22.225,7.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"122","A River Runs Through It","MOVIE",1992,"PG",123,"['drama']","['US']",7.2,59854,19.58,7.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"123","Girl, Interrupted","MOVIE",1999,"R",127,"['drama', 'european']","['DE', 'US']",7.3,183154,20.424,7.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"124","Last Action Hero","MOVIE",1993,"PG-13",131,"['action', 'fantasy', 'comedy', 'family']","['US']",6.4,150498,22.196,6.379,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
"126","My Girl","MOVIE",1991,"PG",103,"['drama', 'family', 'romance', 'comedy', 'european']","['US']",6.9,80590,20.545,7.4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"127","Wyatt Earp","MOVIE",1994,"PG-13",191,"['western', 'crime', 'action', 'drama']","['US']",6.7,50774,14.677,6.751,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"128","Eraser","MOVIE",1996,"R",115,"['thriller', 'action', 'drama', 'crime']","['US', 'CA']",6.1,110921,19.437,6,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"129","Neon Genesis Evangelion: The End of Evangelion","MOVIE",1997,"",87,"['action', 'drama', 'animation', 'scifi', 'fantasy']","['JP']",8,53152,32.569,8.4,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1
"130","Vegas Vacation","MOVIE",1997,"PG",94,"['comedy']","['US']",5.9,49377,12.537,6.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"131","In the Line of Fire","MOVIE",1993,"R",128,"['drama', 'thriller', 'crime', 'action']","['US']",7.2,102916,19.8,6.973,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"132","Little Women","MOVIE",1994,"PG",115,"['drama', 'romance', 'family']","['US']",7.3,58178,13.683,7.314,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"133","U.S. Marshals","MOVIE",1998,"PG-13",131,"['thriller', 'crime', 'action']","['US']",6.5,105286,24.205,6.5,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"135","Anaconda","MOVIE",1997,"PG-13",89,"['horror', 'thriller', 'action']","['PE', 'US', 'BR']",4.8,104213,34.405,5.1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"137","The Replacements","MOVIE",2000,"PG-13",118,"['comedy', 'sport']","['US']",6.6,64771,30.982,6.6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"138","Seven Years in Tibet","MOVIE",1997,"PG-13",136,"['action', 'drama', 'history', 'war']","['US']",7.1,142903,13.766,7.2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
"139","The Net","MOVIE",1995,"PG-13",114,"['thriller', 'action', 'crime', 'drama']","['US']",5.9,66667,15.935,6,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"140","Cliffhanger","MOVIE",1993,"R",112,"['action', 'thriller', 'comedy', 'animation']","['IT', 'US', 'FR']",6.5,128972,27.78,6.5,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
"141","Menace II Society","MOVIE",1993,"R",97,"['drama', 'crime', 'thriller']","['US']",7.5,58179,13.928,7.542,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"142","Johnny Mnemonic","MOVIE",1995,"R",97,"['action', 'drama', 'scifi', 'thriller']","['CA', 'US']",5.6,71563,10.75,5.7,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
"143","3 Ninjas Kick Back","MOVIE",1994,"PG",93,"['comedy', 'family', 'action', 'sport']","['JP', 'US']",4.5,9321,12.603,5.5,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
"144","Edge of Seventeen","MOVIE",1998,"R",104,"['romance', 'drama', 'comedy']","['US']",6.8,6549,6.276,6.5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"146","The Devil's Own","MOVIE",1997,"R",107,"['crime', 'thriller', 'drama', 'action', 'european']","['US']",6.2,65323,12.863,6.1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"148","Spawn","MOVIE",1997,"PG-13",96,"['scifi', 'action', 'drama', 'horror']","['US']",5.2,68184,16.989,5.343,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"150","Croupier","MOVIE",1998,"R",94,"['drama', 'european', 'crime']","['IE', 'GB', 'DE', 'FR']",7,21599,8.381,6.8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"152","The Next Karate Kid","MOVIE",1994,"PG",107,"['action', 'drama', 'family', 'sport', 'romance']","['US']",4.5,30422,20.185,5.318,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0
"153","Geronimo: An American Legend","MOVIE",1993,"PG-13",115,"['western', 'history', 'drama']","['US']",6.5,11709,8.136,6.3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"154","Double Team","MOVIE",1997,"R",93,"['action', 'scifi', 'comedy', 'thriller']","['HK', 'US']",4.8,34396,14.599,5.1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
"155","Heavy","MOVIE",1995,"R",105,"['drama', 'romance']","['US']",6.8,5047,3.308,6.8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"156","The Players Club","MOVIE",1998,"R",104,"['comedy', 'drama']","['US']",5.9,6676,9.25,6.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"162","Kuch Kuch Hota Hai","MOVIE",1998,"G",185,"['romance', 'comedy', 'drama']","['IN']",7.6,52036,12.35,7.7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"163","Children of God","MOVIE",1994,"",63,"['documentation']","['GB']",6.3,612,0.685,6.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"164","Knight Rider 2000","MOVIE",1991,"G",91,"['action', 'scifi']","['US']",4.5,3207,7.945,5.1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"166","Hum Aapke Hain Koun..!","MOVIE",1994,"",206,"['drama', 'romance', 'comedy']","['IN']",7.5,21123,6.314,6.5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"167","Dil Se..","MOVIE",1998,"PG-13",163,"['drama', 'romance']","['IN']",7.5,28586,7.811,6.8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"168","Jerry Seinfeld: I'm Telling You for the Last Time","MOVIE",1998,"G",75,"['comedy', 'documentation']","['US']",7.9,5879,5.822,7.6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170","Sankofa","MOVIE",1993,"",124,"['drama', 'european']","['DE', 'GH', 'GB', 'US', 'BF']",7,692,1.858,6.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"171","Herod's Law","MOVIE",1999,"R",123,"['comedy', 'crime', 'thriller']","['MX']",7.8,6035,10.506,7.9,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"172","Wild Tango","MOVIE",1993,"R",124,"['drama', 'music', 'romance']","['ES', 'AR']",6.7,1584,5.092,6.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
"173","The Last Days","MOVIE",1998,"PG-13",87,"['drama', 'history', 'war', 'documentation']","['US']",7.9,4378,3.766,7.8,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"174","Sam Kinison: Live in Vegas","MOVIE",1991,"",72,"['comedy', 'music', 'documentation']","['US']",6.6,276,0.656,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"175","Bill Hicks: Revelations","MOVIE",1993,"",74,"['comedy', 'documentation']","['GB']",8.5,3098,3.784,8.1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"176","Bombay","MOVIE",1995,"",141,"['drama', 'romance']","['IN']",8.1,12629,4.99,7.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"178","Mann","MOVIE",1999,"",174,"['drama', 'romance']","['IN']",6.1,5451,2.595,6.7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"179","Soldier","MOVIE",1998,"",156,"['thriller', 'action', 'drama', 'romance']","['IN']",6.2,3063,3.623,5.7,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1
"181","Sinbad: Son of a Preacher Man","MOVIE",1996,"",56,"['comedy', 'documentation']","['US']",6.8,116,1.536,5.8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"182","Damini","MOVIE",1993,"",175,"['drama', 'crime']","['IN']",7.8,3523,3.328,7.3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"183","Hum Saath Saath Hain","MOVIE",1999,"G",177,"['romance', 'family', 'fantasy', 'drama']","['IN']",6.2,8552,7.865,6,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
