"","title","type","release_year","age_certification","runtime","genres","production_countries","seasons","imdb_score","imdb_votes","tmdb_popularity","tmdb_score","drama","comedy","documentation","horror","crime","action","thriller","fantasy","romance","history","scifi","animation","reality","sport","family","music","war","western","isNotUS"
"110","Gilmore Girls","SHOW",2000,"TV-14",46,"['comedy', 'drama']","['US']",8,8.2,121462,58.578,7.827,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114","Power Rangers","SHOW",1993,"TV-Y7",22,"['action', 'scifi', 'fantasy', 'family']","['US']",29,6.5,22110,19.699,6.8,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
"117","Yu-Gi-Oh!","SHOW",1998,"TV-Y",22,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']","['JP']",7,7.3,21113,33.504,7.358,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1
"119","The Magic School Bus","SHOW",1994,"TV-Y",26,"['animation', 'scifi', 'comedy', 'family', 'fantasy']","['CA', 'US']",4,7.8,9829,16.83,7.8,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1
"120","Goosebumps","SHOW",1995,"TV-PG",22,"['scifi', 'thriller', 'family', 'fantasy', 'horror', 'music']","['US', 'CA']",4,7.6,13493,63.687,7.9,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1
"121","InuYasha","SHOW",2000,"TV-14",25,"['scifi', 'action', 'fantasy', 'romance', 'animation', 'comedy', 'drama']","['JP']",9,7.9,15823,62.355,8.6,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1
"125","All That","SHOW",1994,"TV-G",22,"['comedy', 'family', 'music']","['US']",11,7.5,7718,6.688,8.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"134","Barney & Friends","SHOW",1992,"TV-G",28,"['comedy', 'family']","['US']",14,3.8,9624,14.641,4.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"136","Kenan & Kel","SHOW",1996,"TV-Y7",25,"['family', 'comedy']","['US']",4,7.8,15620,33.544,8.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"145","My First Errand","SHOW",1991,"TV-G",18,"['documentation', 'family', 'reality']","['JP']",12,NA,NA,7.73,7.8,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
"147","Cardcaptor Sakura","SHOW",1998,"TV-Y7",25,"['scifi', 'animation', 'action', 'comedy', 'drama', 'family', 'fantasy', 'romance']","['JP']",4,8,5008,35.757,8.7,1,1,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1
"149","Adventures of Sonic the Hedgehog","SHOW",1993,"TV-Y7",22,"['scifi', 'animation', 'action', 'comedy', 'family', 'fantasy', 'western']","['US']",4,6.2,3902,13.313,6.3,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0
"151","Girlfriends","SHOW",2000,"TV-PG",21,"['drama', 'comedy']","['US']",8,7.2,4528,12.163,7.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"157","The Parkers","SHOW",1999,"TV-PG",19,"['comedy']","['US']",5,6.8,2377,5.745,8.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"158","Sister, Sister","SHOW",1994,"TV-PG",22,"['comedy', 'drama', 'family']","['US']",6,6.2,12657,21.489,7.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"159","Moesha","SHOW",1996,"TV-PG",21,"['drama', 'comedy', 'family']","['US']",6,5.8,3747,10.901,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"160","Heartbreak High","SHOW",1994,"TV-MA",45,"['drama', 'romance', 'comedy']","['AU']",7,7.8,3139,7.222,7.3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"161","Oggy and the Cockroaches","SHOW",1999,"TV-Y7",9,"['animation', 'comedy', 'family', 'action', 'european']","['FR']",7,7.4,4281,40.189,7.5,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
"165","Okupas","SHOW",2000,"TV-MA",40,"['drama', 'crime']","['AR']",1,9,2399,8.565,8.8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"169","H","SHOW",1998,"TV-MA",25,"['comedy']","['FR']",4,7.4,1727,7.905,7.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"177","Escalona","SHOW",1991,"TV-MA",44,"['drama']","['CO']",1,NA,NA,7.352,7.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"215","Breaking Bad","SHOW",2008,"TV-MA",48,"['drama', 'crime', 'thriller']","['US']",5,9.5,1775990,353.848,8.79,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"216","Top Gear","SHOW",2002,"TV-PG",58,"['comedy', 'reality', 'european', 'music']","['GB']",32,8.7,117240,45.549,7.4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
"217","The Walking Dead","SHOW",2010,"TV-MA",46,"['action', 'drama', 'scifi', 'horror', 'thriller']","['US']",11,8.2,956604,597.277,8.1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"218","Supernatural","SHOW",2005,"TV-14",45,"['scifi', 'horror', 'thriller', 'drama', 'fantasy']","['US']",15,8.4,434081,388.093,8.278,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
"221","The Great British Baking Show","SHOW",2010,"TV-PG",57,"['reality', 'european']","['GB']",12,8.6,9856,5.581,7.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"222","30 Rock","SHOW",2006,"TV-14",25,"['comedy', 'sport']","['US']",7,8.3,122698,48.88,7.4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"223","Borgen","SHOW",2010,"TV-MA",58,"['drama', 'european']","['DK']",4,8.5,25485,51.118,8.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"224","Community","SHOW",2009,"TV-PG",23,"['comedy']","['US']",6,8.5,257221,42.357,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"226","Grey's Anatomy","SHOW",2005,"TV-14",49,"['drama', 'romance']","['US']",19,7.6,299165,803.786,8.252,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"227","Arrested Development","SHOW",2003,"TV-MA",28,"['comedy']","['US']",5,8.7,300445,30.131,8.043,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"228","Heartland","SHOW",2007,"TV-PG",44,"['drama', 'family']","['CA']",15,8.4,16337,74.638,8.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"229","The Staircase","SHOW",2004,"TV-MA",49,"['crime', 'documentation', 'drama']","['FR']",2,7.8,21531,10.922,7.7,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"231","NCIS","SHOW",2003,"TV-14",43,"['crime', 'action', 'thriller', 'drama', 'comedy']","['US']",20,7.8,143846,251.622,7.6,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"232","Avatar: The Last Airbender","SHOW",2005,"TV-Y7",24,"['scifi', 'animation', 'action', 'family', 'fantasy']","['US']",3,9.3,303666,56.915,8.7,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0
"234","Friday Night Lights","SHOW",2006,"TV-14",43,"['drama', 'sport']","['US']",5,8.7,65199,19.681,8.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"235","The IT Crowd","SHOW",2006,"TV-14",25,"['comedy', 'european']","['GB']",5,8.5,149586,31.031,8.108,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"237","The Spectacular Spider-Man","SHOW",2008,"TV-Y7",22,"['action', 'animation', 'family', 'scifi', 'comedy']","['US']",2,8.3,14996,41.509,8.705,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
"239","Zoey 101","SHOW",2005,"TV-G",25,"['drama', 'comedy', 'family', 'romance']","['US']",4,6.1,15808,53.044,8.2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"242","DEATH NOTE","SHOW",2006,"TV-14",24,"['animation', 'thriller', 'scifi', 'drama', 'fantasy', 'crime']","['JP']",1,9,309445,120.545,8.664,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1
"243","The Vampire Diaries","SHOW",2009,"TV-14",42,"['drama', 'scifi', 'horror', 'romance', 'thriller', 'fantasy']","['US']",8,7.7,314422,479.354,8.348,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
"244","Naruto","SHOW",2002,"TV-PG",23,"['animation', 'action', 'scifi', 'comedy', 'fantasy', 'thriller']","['JP']",6,8.4,96729,218.843,8.363,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1
"247","My Little Pony: Friendship Is Magic","SHOW",2010,"TV-Y7",22,"['comedy', 'scifi', 'animation', 'fantasy', 'family', 'drama', 'music']","['CA', 'US']",9,7.6,20910,52.369,8.1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1
"249","Chappelle's Show","SHOW",2003,"TV-14",21,"['comedy', 'music']","['US']",3,8.8,63107,14.116,8.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"253","Victorious","SHOW",2010,"TV-G",25,"['comedy', 'family', 'drama', 'music', 'romance', 'sport']","['US']",4,6.9,24838,71.494,8.221,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0
"258","Trailer Park Boys","SHOW",2001,"TV-MA",25,"['comedy', 'crime']","['CA']",12,8.6,42733,22.603,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"260","America's Next Top Model","SHOW",2003,"TV-14",44,"['reality']","['US']",24,5.6,17905,14.501,5.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"267","The Fairly OddParents","SHOW",2001,"TV-Y7",23,"['comedy', 'scifi', 'animation', 'family', 'fantasy']","['CA', 'US']",10,7.2,38046,67.192,7.7,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1
"270","Ned's Declassified School Survival Guide","SHOW",2004,"TV-G",25,"['family', 'comedy']","['US']",3,7.4,17864,33.115,8.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"276","iCarly","SHOW",2007,"TV-G",26,"['comedy', 'family', 'romance']","['US']",6,6.7,38877,100.996,8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"283","Merlin","SHOW",2008,"TV-PG",44,"['action', 'drama', 'scifi', 'fantasy', 'european']","['GB']",5,7.9,80927,74.931,7.9,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
"284","Transformers: Prime","SHOW",2010,"TV-Y7",22,"['action', 'animation', 'comedy', 'drama', 'family', 'scifi']","['US']",4,7.9,6636,28.925,8,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
"286","The Mole","SHOW",2001,"TV-14",47,"['reality']","['BE', 'US']",5,7.6,1155,2.189,7.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"287","Offspring","SHOW",2010,"",44,"['drama', 'comedy']","['AU']",7,8.3,4880,10.243,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"289","Code Geass: Lelouch of the Rebellion","SHOW",2006,"TV-14",24,"['scifi', 'action', 'animation', 'drama', 'war', 'thriller']","['JP']",3,8.7,62367,35.011,8.493,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1
"300","Gurren Lagann","SHOW",2007,"TV-14",24,"['action', 'scifi', 'animation', 'comedy', 'drama']","['JP']",1,8.3,17024,27.924,8.2,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
"302","Dead Set","SHOW",2008,"TV-MA",141,"['scifi', 'reality', 'thriller', 'comedy', 'drama', 'horror', 'european']","['GB']",1,7.6,19812,9.68,7.3,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
"304","Winx Club","SHOW",2004,"TV-G",23,"['animation', 'action', 'comedy', 'family', 'fantasy', 'thriller', 'european']","['IT']",8,6.2,6700,25.633,8.222,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1
"307","Octonauts","SHOW",2010,"TV-Y",15,"['action', 'animation', 'comedy', 'family']","['GB']",7,7.6,1083,40.327,7.4,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
"308","Sonic X","SHOW",2003,"TV-Y7",21,"['family', 'animation', 'action', 'comedy', 'drama', 'thriller', 'fantasy', 'scifi']","['JP']",3,6.2,4709,37.945,7.5,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1
"317","H2O: Just Add Water","SHOW",2006,"TV-PG",25,"['scifi', 'drama', 'family', 'fantasy']","['AU']",3,7.2,15179,30.832,7.8,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
"319","Still Game","SHOW",2002,"TV-14",29,"['comedy', 'european']","['GB']",9,8.9,7689,5.128,8.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"323","Black Butler","SHOW",2008,"TV-MA",25,"['scifi', 'animation', 'drama', 'thriller', 'comedy', 'fantasy', 'action', 'horror', 'crime']","['JP']",3,8.2,1877,36.122,7.5,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1
"328","The 4400","SHOW",2004,"TV-14",44,"['drama', 'scifi', 'thriller']","['US']",4,7.3,45249,37.169,7.2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"330","Strawberry Shortcake","SHOW",2003,"TV-Y",23,"['animation', 'family']","['US']",4,7,13,31.584,6.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"331","Shaun the Sheep","SHOW",2007,"TV-G",7,"['animation', 'comedy', 'family', 'european']","['GB']",6,8.1,28,31.375,7.9,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
"333","Toradora!","SHOW",2008,"TV-14",30,"['animation', 'comedy', 'drama', 'romance']","['JP']",2,8,14828,24.352,8.5,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
"334","Big Time Rush","SHOW",2009,"TV-G",25,"['family', 'comedy']","['US']",4,6.3,12288,55.706,8.774,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"345","Midnight Diner","SHOW",2009,"TV-MA",27,"['drama', 'comedy']","['JP']",5,8.6,2256,7.356,7.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"347","Pocoyo","SHOW",2005,"TV-G",11,"['animation', 'family', 'comedy', 'european']","['GB', 'ES']",4,3.9,93,27.339,7.1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
"348","Total Drama Island","SHOW",2007,"TV-PG",23,"['war', 'reality', 'animation', 'action', 'comedy', 'drama', 'family']","['CA']",6,7.3,10886,16.655,7.3,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1
"349","Kath & Kim","SHOW",2002,"",24,"['comedy']","['AU']",4,8.3,4261,3.926,6.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"359","Metallica: Some Kind of Monster","SHOW",2004,"TV-MA",84,"['western']","['CA', 'US']",1,NA,NA,0.893,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"362","Ouran High School Host Club","SHOW",2006,"TV-14",23,"['comedy', 'drama', 'animation', 'romance']","['JP']",1,8.2,9929,18.186,8.4,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
"363","Masha and the Bear","SHOW",2009,"TV-Y",7,"['family', 'action', 'animation', 'comedy']","['RU']",5,7.5,3169,38.171,6.9,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
"365","Mobile Suit Gundam Unicorn","SHOW",2010,"TV-14",36,"['scifi', 'animation', 'action', 'drama', 'war']","['JP']",2,7.8,1291,10.936,7.9,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1
"366","Wakfu","SHOW",2008,"TV-Y7",22,"['action', 'scifi', 'family', 'fantasy', 'animation', 'european']","['FR']",3,8.1,1497,19.736,8.9,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1
"369","Vampire Knight","SHOW",2008,"TV-14",25,"['animation', 'drama', 'action', 'scifi', 'thriller', 'fantasy', 'horror', 'romance']","['JP']",2,7.3,5245,17.547,8.4,1,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1
"370","Boys Over Flowers","SHOW",2009,"TV-14",64,"['comedy', 'drama', 'romance']","['KR']",1,7.9,11902,80.384,8.28,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"374","The Garfield Show","SHOW",2009,"TV-G",17,"['animation', 'comedy', 'family', 'european']","['US']",5,5.4,2578,25.677,5.2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"375","Ben & Holly's Little Kingdom","SHOW",2009,"TV-G",14,"['animation', 'comedy', 'family', 'fantasy', 'european']","['GB']",3,7.4,1261,11.735,6.6,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
"377","Code Lyoko","SHOW",2003,"TV-G",24,"['action', 'animation', 'comedy', 'thriller', 'scifi', 'family', 'romance', 'fantasy']","['FR']",5,7.3,5165,9.597,7.7,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,1
"378","DreamWorks Shrek's Swamp Stories","SHOW",2010,"TV-PG",24,"['comedy', 'family', 'fantasy', 'horror', 'music', 'animation', 'scifi']","['US']",1,6.5,346,5.014,8.8,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0
"380","The Game","SHOW",2006,"TV-14",22,"['drama', 'comedy', 'romance', 'sport']","['US']",10,6.6,4449,12.124,8.4,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"381","Monty Python: Almost the Truth (The Lawyer's Cut)","SHOW",2009,"TV-MA",55,"['comedy', 'documentation']","['US']",1,8.1,1768,2.422,7.9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"383","Pororo the Little Penguin","SHOW",2003,"",9,"['scifi', 'family', 'animation', 'action']","['KR']",7,6.3,91,4.404,5,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1
"384","The Legend of Bruce Lee","SHOW",2008,"",45,"['action', 'drama']","['CN']",1,7,1422,21.479,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"385","Den-noh Coil","SHOW",2007,"TV-Y7",25,"['scifi', 'animation', 'comedy', 'drama']","['JP']",1,7.8,881,13.045,7.9,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"394","Zig and Sharko","SHOW",2010,"",9,"['comedy', 'romance', 'action', 'animation', 'family', 'fantasy', 'european']","['FR']",3,6.8,671,19.476,5.8,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1
"396","Johnny Test","SHOW",2005,"TV-Y7",18,"['animation', 'comedy', 'drama', 'family', 'scifi', 'action']","['CA', 'US']",6,5.1,8322,22.516,5.6,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1
"400","Bo on the Go!","SHOW",2007,"",22,"['animation']","['CA']",4,4.2,123,1.52,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"404","Half & Half","SHOW",2002,"TV-14",21,"['comedy']","['US']",4,7,1860,8.06,8.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"410","Kung Fu Panda Awesome Secrets","SHOW",2008,"TV-PG",32,"['action', 'animation', 'comedy', 'family']","['US']",1,7.1,59,NA,NA,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
"412","Dinosaur King","SHOW",2007,"",20,"['action', 'animation', 'scifi', 'comedy', 'family', 'western']","['JP']",2,5.6,737,28.909,8.2,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1
"416","El Escamoso","SHOW",2001,"TV-14",48,"['drama', 'comedy']","['CO']",1,7.5,325,32.626,7.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"420","Horrid Henry","SHOW",2006,"",13,"['animation', 'comedy', 'family', 'music', 'fantasy', 'european']","['GB']",5,6.3,944,2.36,8,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1
"423","The Mafia Dolls","SHOW",2009,"TV-14",43,"['drama', 'action']","['CO']",2,6.6,293,27.667,7.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"424","Vientos de agua","SHOW",2006,"TV-MA",73,"['drama']","['AR', 'ES']",1,8.8,1051,1.41,8.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"425","Timmy Time","SHOW",2009,"TV-Y",14,"['animation', 'comedy', 'family', 'fantasy', 'european']","['GB']",3,6.9,1111,14.959,6.2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
"426","Iris","SHOW",2009,"TV-14",61,"['action', 'drama', 'comedy', 'reality', 'romance', 'thriller']","['KR']",2,7.8,1951,9.239,7.6,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1
"432","Tayo the Little Bus","SHOW",2010,"TV-Y",11,"['animation', 'comedy', 'family']","['KR']",6,5.3,158,4.871,6.3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
"435","One on One","SHOW",2001,"TV-14",20,"['comedy']","['US']",5,7,2323,6.204,7.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"445","Trotro","SHOW",2004,"TV-G",3,"['animation', 'family', 'european']","['FR']",2,6.3,122,1.841,7.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
"454","DreamWorks Spooky Stories","SHOW",2009,"TV-PG",26,"['animation']","['US']",1,6.2,19,0.88,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"455","Oscar's Oasis","SHOW",2010,"TV-Y",9,"['animation', 'comedy', 'european']","['FR']",1,7.4,586,4.963,7.4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"465","Edge of the Universe","SHOW",2002,"TV-G",49,"['documentation']","['GB']",1,7.2,208,1.139,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"468","Dreamworks Happy Holidays from Madagascar","SHOW",2005,"TV-PG",31,"['animation', 'comedy', 'family']","['US']",1,6.5,97,3.42,NA,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"477","Cocaine","SHOW",2005,"TV-14",49,"['documentation', 'european']","['US']",1,7.1,61,0.6,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"478","The Cartel","SHOW",2008,"TV-MA",44,"['action', 'drama', 'crime', 'thriller', 'comedy']","['CO']",2,8,774,189.665,7.5,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
